#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-1303.5310677946836,10671.5927734375,9368.061705642816,299.7775534084467,1394.7769717583337,0
10000,-1059.106345607739,10718.794921875,9659.688576267261,301.1035171023985,1394.7068056869869,508
15000,-936.7164898805931,10669.99609375,9733.279603869407,299.7327008039239,1394.7435622264015,509
20000,-1060.6831865657587,10763.630859375,9702.947672809241,302.3630111567424,1394.0797045882694,508
25000,-1238.0246875555458,10388.322265625,9150.297578069454,291.82015271038335,1394.126155058993,450
30000,-990.6135903700051,10867.703125,9877.089534629995,305.2865231224906,1393.2668582096196,461
35000,-878.6590171734715,10446.04296875,9567.383951576528,293.441594938473,1394.0503714368388,465
40000,-1251.1886163538002,10705.021484375,9453.8328680212,300.7166050937196,1393.7391912636417,467
45000,-1019.271544068557,10695.9365234375,9676.664979368943,300.46139788890247,1394.1834204950658,469
50000,-1105.498426608814,10849.34765625,9743.849229641186,304.7708964835847,1393.6344476119832,473
55000,-1140.3402332375263,10606.8076171875,9466.467383949974,297.957662409031,1393.7886061529448,476
60000,-915.1034801037458,10366.140625,9451.037144896254,291.19704441733654,1393.996696186653,478
65000,-1021.3776190312346,10489.05078125,9467.673162218765,294.6497348180972,1393.6354393001018,480
70000,-1195.569506927277,10488.52734375,9292.957836822723,294.6350308449937,1393.900153396453,482
75000,-1122.3398122365033,10767.8046875,9645.464875263497,302.4802588825715,1393.8007032569292,483
80000,-1186.3202859782323,10927.02734375,9740.707057771768,306.95300998460255,1392.563796870719,482
85000,-902.1473077423434,10610.1845703125,9708.037262570157,298.05252498177714,1392.7395632051453,482
90000,-958.775251577681,10713.2392578125,9754.464006234819,300.94745198488755,1392.9429799302684,483
95000,-1367.4447853854072,10618.30859375,9250.863808364593,298.2807383255236,1392.3842349501135,484
100000,-815.2150013555947,10373.724609375,9558.509608019405,291.41008743062355,1392.3365955420763,485
105000,-1115.9993287264952,10610.5419921875,9494.542663461005,298.0625653813217,1391.6561291057308,486
110000,-1240.8380237159727,10673.732421875,9432.894398159027,299.83765864178594,1393.0242782167577,487
115000,-1063.81003677861,10992.498046875,9928.68801009639,308.7921587995382,1393.156087192267,486
120000,-1183.3720419680321,10458.396484375,9275.024442406968,293.7886196768301,1392.8542626291874,486
125000,-918.4854151883628,10637.33984375,9718.854428561637,298.815348452093,1392.5174281600518,485
130000,-968.627448603409,10336.978515625,9368.351067021591,290.37784657252865,1392.777416789686,486
135000,-1108.5132614273316,10555.3818359375,9446.868574510168,296.5130519171824,1392.315651728478,486
140000,-969.9332682463864,10679.70703125,9709.773763003614,300.00549242433675,1391.8197741744575,487
145000,-1075.5625443088647,10595.0869140625,9519.524369753635,297.6284141157692,1391.318058483169,487
150000,-866.9420814281912,10546.0966796875,9679.154598259309,296.252220991309,1391.8588129456214,488
155000,-875.4449943229702,10367.6494140625,9492.20441973953,291.2394280711517,1391.1082609834668,488
160000,-1348.077433493716,10425.939453125,9077.862019631284,292.8768636132699,1391.9325551221075,487
165000,-1182.6771192708547,10581.6640625,9398.986943229145,297.25135047713536,1392.1150534909568,487
170000,-1110.04244128328,10557.4931640625,9447.45072277922,296.572361599738,1392.2129725025452,487
175000,-1058.722020922578,10686.9541015625,9628.232080639922,300.20907112657767,1392.5444013522858,487
180000,-1334.5537317926355,10618.3974609375,9283.843729144864,298.2832347090169,1392.5437324352401,487
185000,-1125.6545866815577,10447.265625,9321.611038318442,293.47594078609535,1391.401482533754,488
190000,-1157.8147200089297,10833.701171875,9675.88645186607,304.33136839204656,1392.0270429680427,482
195000,-1180.886371773653,10090.2109375,8909.324565726347,283.4458559689356,1391.0212914037652,465
200000,-985.6642160053452,10649.0390625,9663.374846494655,299.1439932240707,1390.3479080637703,465
205000,-1157.0368269556202,10634.8115234375,9477.77469648188,298.74432497006876,1390.1229325367237,466
210000,-971.3322436566523,10698.66015625,9727.327912593348,300.5379079280549,1390.0886110995293,466
215000,-1013.0618748890702,10884.88671875,9871.82484386093,305.76923041862744,1390.0394892644952,467
220000,-1117.321398106622,10607.669921875,9490.348523768378,297.98188555875186,1389.1121509715613,466
225000,-1233.203050727825,10739.447265625,9506.244214897175,301.68366565313175,1389.7680829141188,464
230000,-972.095326244962,10584.099609375,9612.004283130038,297.3197678445237,1389.6263104032366,463
235000,-879.6261416024208,10691.4443359375,9811.81819433508,300.3352070749545,1389.6983844287925,463
240000,-1102.0012974828423,10634.94140625,9532.940108767158,298.74797353055897,1389.9614055125478,463
245000,-978.2281583267759,10628.1328125,9649.904654173224,298.5567121490708,1389.3541615481104,464
250000,-1329.7673921790556,10504.763671875,9174.996279695944,295.09112833905886,1389.9166998669384,465
255000,-1011.4164730081247,10779.974609375,9768.558136366875,302.8221262572281,1388.8744971576014,465
260000,-1219.077658722861,10708.623046875,9489.545388152139,300.81777720716315,1388.928056700448,466
265000,-945.6441045364918,10814.9677734375,9869.323668901008,303.8051252650976,1388.704647925578,466
270000,-968.6402733816358,10518.6083984375,9549.968125055864,295.4800429410896,1388.7833560913016,466
275000,-1128.8064091499837,10982.0947265625,9853.288317412516,308.49991733410593,1388.5338691229142,466
280000,-880.5865913437447,10781.744140625,9901.157549281255,302.87183446480935,1387.6851628071313,466
285000,-913.2698853978363,10633.93359375,9720.663708352164,298.7196628957776,1388.5677066458234,467
290000,-1084.1416727616452,10379.9208984375,9295.779225675855,291.5841484555149,1389.1788780322006,467
295000,-1080.4444304219069,10801.3857421875,9720.941311765593,303.4235900824043,1389.5338670073693,467
300000,-1253.6675171480456,10660.3271484375,9406.659631289454,299.4610887932936,1389.9476793805793,468
305000,-785.0751804766187,10739.86328125,9954.788100773381,301.6953520198147,1389.438203624232,468
310000,-930.7614805769554,10579.6669921875,9648.905511610545,297.19525043049975,1389.2426961611898,468
315000,-1148.0162953543331,10803.529296875,9655.513001520667,303.48380504688606,1388.8725716113852,468
320000,-866.2694647045719,10506.7998046875,9640.530339982928,295.14832569712013,1388.4363979669222,468
325000,-1178.4473171729478,10473.677734375,9295.230417202052,294.2178879065385,1388.1568531090982,469
330000,-833.1410171348689,10800.001953125,9966.860935990131,303.3847178251512,1387.2304329793265,469
335000,-1187.4197153161804,10406.103515625,9218.68380030882,292.31964887133245,1388.172581049214,469
340000,-941.2499000454554,10989.41796875,10048.168068704545,308.70563579362687,1387.6078709337876,469
345000,-861.8368422125204,10501.3720703125,9639.53522809998,294.99585427452814,1387.5223548955194,470
350000,-1181.4148310774326,10488.56640625,9307.151575172567,294.6361281564193,1387.2532771164028,470
355000,-1200.4021385274245,10690.7080078125,9490.305869285075,300.3145227545813,1387.0177713080348,470
360000,-1287.114263444426,10642.15625,9355.041986555574,298.9506469508738,1387.2480046708442,470
365000,-1091.799781548587,10350.560546875,9258.760765326413,290.7593817552219,1387.0857295694727,470
370000,-1128.6559819735849,10531.6826171875,9403.026635213915,295.84731307524964,1387.0034284084759,470
375000,-1144.4415217073692,10398.091796875,9253.65027516763,292.09459029793464,1387.7594088040241,470
380000,-1166.316462120507,10512.5029296875,9346.186467566993,295.3085331652628,1387.404507059007,470
385000,-757.3232887821068,10591.2197265625,9833.896437780393,297.51978028463134,1387.4250869280336,471
390000,-1120.3317391612072,10751.7421875,9631.410448338793,302.02904442435033,1387.6218407065858,471
395000,-1222.6629726571264,10463.1591796875,9240.496207030374,293.92240937240064,1387.7976544724163,470
400000,-1090.8501925060118,10451.001953125,9360.151760618988,293.58089862395735,1387.3114846804046,471
405000,-994.4552864502912,10753.0078125,9758.552526049709,302.06459731454095,1388.5519326548538,471
410000,-1125.1129180004646,10426.7041015625,9301.591183562035,292.89834348442673,1388.1122188278098,471
415000,-1251.3961290423176,10620.607421875,9369.211292832682,298.3453151029222,1388.7202650289066,471
420000,-1015.9210161749506,10801.529296875,9785.60828070005,303.42762270189354,1388.246170605258,471
425000,-1050.9456409671693,10477.0146484375,9426.06900747033,294.3116257350734,1387.8082742893262,471
430000,-1054.5640539165615,10500.689453125,9446.125399208438,294.97667875736516,1387.6086779869502,471
435000,-1128.1958972020802,10555.7294921875,9427.53359498542,296.5228179888706,1388.0579409332495,471
440000,-1279.2263483478455,10661.8095703125,9382.583221964655,299.5027317618964,1387.5689428188448,471
445000,-1055.257490257165,10494.4287109375,9439.171220680335,294.80080716862153,1387.493883144981,471
450000,-901.4624934348831,10593.9189453125,9692.456451877617,297.59560450414267,1387.9633844126563,472
455000,-1223.2585566179332,10625.8310546875,9402.572498069567,298.4920530733153,1386.889013170294,471
460000,-1358.0503372966778,10565.24609375,9207.195756453322,296.79015048494097,1387.8038168424055,471
465000,-968.9415217325004,10602.4091796875,9633.467657955,297.8341051425045,1388.1302035056478,467
470000,-915.2573286264378,10392.064453125,9476.807124498562,291.9252751449592,1387.3746727758692,463
475000,-1280.4870186606422,10653.93359375,9373.446575089358,299.2814863457027,1387.6648433329494,464
480000,-1196.8450058162416,10736.44921875,9539.604212933758,301.5994470012143,1388.067862905076,464
485000,-932.9633411967661,10728.59375,9795.630408803234,301.37877767351904,1388.2134153573973,464
490000,-925.2437921033124,10599.1708984375,9673.927106334188,297.7431380253193,1387.3247432572387,464
