#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5000,-15334.319748099937,10141.564453125,-5192.755294974937,284.88843643464674,618.9434430386096,0
10000,-17077.710722378673,10831.5166015625,-6246.194120816173,304.27000125056793,146.82215483805973,493
15000,-17924.934628527553,10683.818359375,-7241.116269152553,300.12098445188485,143.60203431665127,493
20000,-18110.844342777214,10456.619140625,-7654.2252021522145,293.7386920069637,141.28651125988543,493
25000,-18222.009757441512,10556.802734375,-7665.207023066512,296.5529666202899,130.70236824965505,493
30000,-18420.3571227231,10709.9521484375,-7710.4049742856005,300.85511322842035,120.91745397023563,492
35000,-18398.82696852171,10686.58203125,-7712.244937271709,300.19861923524854,117.20892091088956,489
40000,-18624.225144048512,10571.1728515625,-8053.052292486012,296.9566400609954,109.54706221569039,485
45000,-18352.18890623664,11012.365234375,-7339.823671861639,309.35025139061617,105.13150011604677,483
50000,-18478.729562238208,10448.421875,-8030.307687238208,293.50842120429417,101.60954812250172,483
55000,-18873.092678206332,10711.693359375,-8161.3993188313325,300.904025885218,100.6345988900933,483
60000,-18478.22146757701,10459.341796875,-8018.879670702008,293.81517461333044,97.57625153448578,484
65000,-18808.42930993397,10325.5556640625,-8482.87364587147,290.0569652788873,97.2533476289769,484
70000,-18798.30154696814,10342.8369140625,-8455.464632905641,290.54241585358824,96.37925829175812,484
75000,-18795.546697112397,10573.15234375,-8222.394353362397,297.0122463174895,97.26079826015525,482
80000,-18591.593945656336,10761.5400390625,-7830.053906593836,302.3042775626853,98.42464580749046,481
85000,-18833.111688384088,10669.5751953125,-8163.536493071588,299.7208772733126,98.42726842786463,480
90000,-18810.667300869798,10752.703125,-8057.964175869798,302.056038285421,99.81639420348502,480
95000,-18908.77185791322,10744.591796875,-8164.18006103822,301.8281815678879,99.65514821943269,480
100000,-18708.80274291488,10456.2578125,-8252.544930414879,293.72854187627655,98.69260526211211,481
105000,-18704.587014004515,10645.1923828125,-8059.394631192015,299.03593548143124,98.44555813765693,481
110000,-18862.967456061364,10419.1171875,-8443.850268561364,292.68521817278275,96.62893300022695,481
115000,-18771.606848372583,10513.1044921875,-8258.502356185083,295.3254317612176,97.07760340376177,480
120000,-18831.351553535438,10846.078125,-7985.273428535438,304.67905151725904,95.50866267992416,479
125000,-18686.560438971996,10571.7861328125,-8114.774306159496,296.97386785037787,93.36830006160926,478
130000,-18722.99454837384,10957.1953125,-7765.799235873841,307.8004635986205,92.28842219084677,478
135000,-19007.723116103778,10735.203125,-8272.519991103778,301.5644427667365,95.81478765060298,478
140000,-19130.557909780196,10589.923828125,-8540.634081655196,297.48337697808586,93.482607685591,479
145000,-18792.680235673048,10757.966796875,-8034.713438798048,302.2039010000253,95.02987702784434,479
150000,-18964.362068441435,10461.9716796875,-8502.390388753935,293.8890511050613,95.8521003112894,478
155000,-18975.60768849014,10556.30078125,-8419.306907240141,296.5388661684705,94.3854000531775,478
160000,-18935.565281890144,10579.8515625,-8355.713719390144,297.20043522698586,93.7386601208276,477
165000,-18877.221153659702,10830.9794921875,-8046.241661472202,304.25491321846545,95.31422632231103,477
170000,-19144.59681473604,10691.431640625,-8453.16517411104,300.3348504487411,92.98773801665655,477
175000,-19017.00544578189,10765.6142578125,-8251.391187969391,302.41872714437903,91.0636772710293,477
180000,-19188.76114951982,10553.5625,-8635.198649519822,296.4619446375335,88.95013339704644,477
185000,-19385.230631721133,10851.8828125,-8533.347819221133,304.84211199510844,88.02062932297183,477
190000,-19202.927665968004,10486.478515625,-8716.449150343004,294.5774768607191,88.3963405732415,477
195000,-19202.0484241894,10388.0625,-8813.985924189401,291.8128555894029,86.72982699946084,476
200000,-19275.65044329017,10556.15234375,-8719.498099540171,296.5346963850531,86.82770481054959,476
205000,-19045.814364799386,10938.0224609375,-8107.791903861886,307.2618757181332,86.76153355851619,476
210000,-19074.46573869692,10744.5126953125,-8329.95304338442,301.82595951225096,88.92971131805538,476
215000,-19116.512483640385,10487.919921875,-8628.592561765385,294.6179676523251,88.79331814620102,476
220000,-19206.00078564002,10590.212890625,-8615.787895015019,297.49149708263553,87.77496665767147,476
225000,-19145.401157181186,10768.0986328125,-8377.302524368686,302.4885161510494,87.81328866422766,476
230000,-18915.003890573716,10964.9716796875,-7950.0322108862165,308.0189108706788,88.55946329754188,475
235000,-19030.81037045858,10594.369140625,-8436.441229833581,297.6082510183232,87.4528888842784,475
240000,-19311.42938617713,10603.001953125,-8708.42743305213,297.85075684338847,86.4552758181817,475
245000,-19117.07411689253,10700.8955078125,-8416.17860908003,300.60070157438685,86.35302761447088,475
250000,-19186.473165149393,10569.546875,-8616.926290149393,296.91096447290334,84.36365512499394,475
255000,-18767.067187984547,10496.84375,-8270.223437984547,294.86864844751136,84.17931697315757,475
260000,-19310.221518943872,10408.1240234375,-8902.097495506372,292.3764073048234,85.84871335013088,475
265000,-19120.131237216905,10406.583984375,-8713.547252841905,292.3331458018678,83.88557657818289,475
270000,-19217.274855757103,10498.3837890625,-8718.891066694603,294.9119099504671,84.38305038978709,474
275000,-19066.390688763917,10616.1025390625,-8450.288149701417,298.21876766276085,86.56878653593226,474
280000,-19314.992124020195,10649.0751953125,-8665.916928707695,299.1450082371394,85.85695879840667,474
285000,-19340.184263443865,10794.0712890625,-8546.112974381365,303.21811851795417,85.16096982407325,474
290000,-19438.40212023235,10464.0537109375,-8974.34840929485,293.94753780404767,87.0091322993347,474
295000,-19240.173850757143,10681.3544921875,-8558.819358569643,300.05177153371295,86.00640109197596,474
300000,-19152.364508898303,10537.98828125,-8614.376227648303,296.0244465721328,83.41027767484918,474
305000,-19120.932880722074,10480.10546875,-8640.827411972074,294.39845050162677,84.55653590326297,473
310000,-19449.18911403294,10468.1884765625,-8981.000637470439,294.06368821845115,81.86375480961824,473
315000,-19184.027295520456,10574.951171875,-8609.076123645456,297.06277750863995,85.68144658010587,473
320000,-19141.105462278254,10669.6181640625,-8471.487298215754,299.72208431588086,83.38618642008237,473
325000,-19256.297592802104,10492.8505859375,-8763.447006864604,294.75647578702586,83.37818325757254,473
330000,-19228.61467157636,10610.734375,-8617.88029657636,298.06796964009294,82.36224553115215,473
335000,-19414.73903961893,10613.73046875,-8801.00857086893,298.15213342643915,82.88295911663609,473
340000,-19135.762520383592,10634.486328125,-8501.276192258592,298.73518985245033,82.17586903976625,473
345000,-19362.238914421352,10626.2421875,-8735.996726921352,298.50360227607007,81.64336909440937,472
350000,-19127.854301758372,11002.6591796875,-8125.1951220708725,309.0775969341315,82.9927317374849,472
355000,-19224.837584201494,10655.38671875,-8569.450865451494,299.32230633073635,80.34421713695136,472
360000,-19127.334670794953,10304.0205078125,-8823.314162982453,289.4520174899347,80.62933382313011,472
365000,-19064.86998249023,10510.5654296875,-8554.304552802729,295.25410651855134,82.20287264675865,472
370000,-19505.236226531255,10751.646484375,-8753.589742156255,302.02635601135756,80.6799611810492,472
375000,-19159.79592144121,10687.853515625,-8471.942405816211,300.23433672215293,83.1642125740836,472
380000,-19627.9913620125,10592.5703125,-9035.4210495125,297.55771982717266,82.15408394350081,471
385000,-19207.236414889514,10536.8203125,-8670.416102389514,295.9916369605063,80.9694761251242,471
390000,-19020.547845045192,10717.78515625,-8302.762688795192,301.0751516020458,80.08254308959961,471
395000,-19187.696495888056,10891.36328125,-8296.333214638056,305.95116465299776,80.64547288870526,471
400000,-19257.67682076909,10585.4736328125,-8672.203187956591,297.3583657739204,78.65474551313281,471
405000,-19390.527018332403,10330.78515625,-9059.741862082403,290.20386784599424,80.26340138507356,471
410000,-19133.074261677757,10381.8134765625,-8751.260785115257,291.6373131940869,79.94043732779413,470
415000,-19206.304297185634,10580.025390625,-8626.278906560634,297.20531826282996,80.6689090127769,470
420000,-19278.39341502216,10669.7041015625,-8608.689313459661,299.7244984010173,81.43793811615133,470
425000,-19545.55401851001,10568.154296875,-8977.39972163501,296.8718453205795,79.85205937536155,470
430000,-19191.619426050034,10601.6005859375,-8590.018840112534,297.8113907959938,79.3054574959764,470
435000,-19131.26817250972,10344.572265625,-8786.69590688472,290.59116391367206,81.30662420648065,470
440000,-19573.562922161145,10402.91796875,-9170.644953411145,292.2301631245719,82.24553905154492,470
