PC1_edge,PC2_edge,FE_kcal_mol
0.293,-0.915,1.9760
0.229,-0.845,1.9760
0.357,-0.810,1.9760
0.421,-0.810,1.9760
0.389,-0.775,1.9760
0.389,-0.705,1.9760
0.453,-0.705,1.9760
0.484,-0.670,1.3245
-0.090,-0.635,1.9760
0.357,-0.635,1.9760
0.516,-0.635,1.9760
0.548,-0.635,1.9760
0.644,-0.635,1.9760
0.739,-0.635,1.9760
0.038,-0.600,1.9760
0.134,-0.600,1.9760
0.484,-0.600,1.9760
0.516,-0.600,1.9760
0.612,-0.600,1.9760
0.644,-0.600,1.9760
0.676,-0.600,1.9760
0.102,-0.566,1.9760
0.516,-0.566,1.9760
0.548,-0.566,1.9760
0.580,-0.566,1.9760
0.612,-0.566,1.5650
0.644,-0.566,1.9760
0.676,-0.566,1.9760
0.708,-0.566,1.9760
0.134,-0.531,1.9760
0.453,-0.531,1.9760
0.516,-0.531,1.5650
0.548,-0.531,1.9760
0.580,-0.531,1.9760
0.006,-0.496,1.9760
0.102,-0.496,1.9760
0.389,-0.496,1.9760
0.453,-0.496,1.9760
0.612,-0.496,1.9760
0.644,-0.496,1.9760
0.708,-0.496,1.9760
0.739,-0.496,1.9760
0.070,-0.461,1.5650
0.102,-0.461,1.5650
0.134,-0.461,1.3245
0.166,-0.461,1.9760
0.197,-0.461,1.9760
0.229,-0.461,1.5650
0.389,-0.461,1.9760
0.453,-0.461,1.9760
0.612,-0.461,1.3245
0.644,-0.461,1.5650
0.166,-0.426,1.9760
0.197,-0.426,1.5650
0.261,-0.426,1.5650
0.453,-0.426,1.9760
0.484,-0.426,1.9760
0.548,-0.426,1.9760
0.708,-0.426,1.5650
0.739,-0.426,1.5650
0.134,-0.391,1.9760
0.166,-0.391,1.5650
0.197,-0.391,1.9760
0.229,-0.391,1.5650
0.261,-0.391,1.9760
0.293,-0.391,1.9760
0.516,-0.391,1.9760
0.676,-0.391,1.9760
-0.408,-0.356,1.9760
0.006,-0.356,1.5650
0.134,-0.356,1.9760
0.166,-0.356,1.5650
0.261,-0.356,1.9760
0.293,-0.356,1.5650
0.325,-0.356,1.5650
0.612,-0.356,1.9760
0.739,-0.356,1.9760
0.931,-0.356,1.9760
-0.345,-0.321,1.9760
0.261,-0.321,1.5650
0.325,-0.321,1.9760
0.421,-0.321,1.9760
0.708,-0.321,1.9760
0.803,-0.321,1.9760
-0.408,-0.286,1.9760
-0.249,-0.286,1.9760
0.197,-0.286,1.9760
0.229,-0.286,1.9760
0.293,-0.286,1.9760
0.325,-0.286,1.5650
0.516,-0.286,1.9760
0.867,-0.286,1.9760
-0.408,-0.251,1.9760
-0.376,-0.251,1.5650
-0.345,-0.251,1.5650
-0.313,-0.251,1.9760
0.166,-0.251,1.9760
0.197,-0.251,1.9760
0.229,-0.251,1.5650
0.261,-0.251,1.9760
0.293,-0.251,1.9760
0.325,-0.251,1.5650
0.357,-0.251,1.9760
0.453,-0.251,1.9760
0.580,-0.251,1.9760
0.771,-0.251,1.5650
0.899,-0.251,1.9760
-0.376,-0.216,1.9760
-0.345,-0.216,1.5650
-0.313,-0.216,1.5650
-0.281,-0.216,1.9760
-0.249,-0.216,1.5650
0.102,-0.216,1.9760
0.261,-0.216,1.9760
0.293,-0.216,1.5650
0.357,-0.216,1.0216
0.453,-0.216,1.9760
0.803,-0.216,1.9760
0.835,-0.216,1.9760
0.867,-0.216,1.9760
0.995,-0.216,1.9760
-0.376,-0.181,1.9760
-0.345,-0.181,1.9760
-0.313,-0.181,0.9135
-0.281,-0.181,0.8221
-0.249,-0.181,1.3245
-0.217,-0.181,1.9760
0.261,-0.181,1.9760
0.293,-0.181,1.5650
0.357,-0.181,1.5650
0.389,-0.181,1.9760
0.421,-0.181,1.9760
0.484,-0.181,1.9760
0.835,-0.181,1.9760
0.963,-0.181,1.9760
