Time_ns,NativeQ,Count
0.4,0.5000,34
0.5,0.4888,33
0.6,0.4814,33
0.7,0.4781,32
0.8,0.4834,33
0.9,0.4919,33
1.0,0.4760,32
1.1,0.4891,33
1.2,0.4856,33
1.3,0.4882,33
1.4,0.4844,33
1.5,0.4883,33
1.6,0.4730,32
1.7,0.4709,32
1.8,0.4765,32
1.9,0.4808,33
2.0,0.4756,32
2.1,0.4803,33
2.2,0.4863,33
2.3,0.4883,33
2.4,0.4987,34
2.5,0.4820,33
2.6,0.4848,33
2.7,0.4735,32
2.8,0.4655,32
2.9,0.4783,33
3.0,0.4930,34
3.1,0.4807,33
3.2,0.4855,33
3.3,0.4824,33
3.4,0.4856,33
3.5,0.4788,33
3.6,0.4726,32
3.7,0.4724,32
3.8,0.4782,32
3.9,0.4822,33
4.0,0.4867,33
4.1,0.4937,34
4.2,0.4944,34
4.3,0.4919,33
4.4,0.4796,33
4.5,0.4762,32
4.6,0.4836,33
4.7,0.4866,33
4.8,0.4804,33
4.9,0.4781,32
5.0,0.4848,33
5.1,0.4876,33
5.2,0.4707,32
5.3,0.4755,32
5.4,0.4822,33
5.5,0.4826,33
5.6,0.4892,33
5.7,0.4902,33
5.8,0.4770,32
5.9,0.4787,33
6.0,0.4764,32
6.1,0.4872,33
6.2,0.4650,32
6.3,0.4804,33
6.4,0.4686,32
6.5,0.4754,32
6.6,0.4757,32
6.7,0.4788,33
6.8,0.4806,33
6.9,0.4826,33
7.0,0.4820,33
7.1,0.4802,33
7.2,0.4769,32
7.3,0.4827,33
7.4,0.4487,30
7.5,0.4460,30
7.6,0.4491,30
7.7,0.4502,31
7.8,0.4500,31
7.9,0.4455,30
8.0,0.4396,30
8.1,0.4414,30
8.2,0.4388,30
8.3,0.4351,30
8.4,0.4396,30
8.5,0.4465,30
8.6,0.4310,29
8.7,0.4554,31
8.8,0.4515,31
8.9,0.4486,30
9.0,0.4571,31
9.1,0.4535,31
9.2,0.4622,31
9.3,0.4572,31
9.4,0.4437,30
9.5,0.4568,31
9.6,0.4490,30
9.7,0.4534,31
9.8,0.4447,30
9.9,0.4492,30
10.0,0.4520,31
10.1,0.4600,31
10.2,0.4604,31
10.3,0.4759,32
10.4,0.4632,31
10.5,0.4443,30
10.6,0.4594,31
10.7,0.4565,31
10.8,0.4602,31
10.9,0.4571,31
11.0,0.4512,31
11.1,0.4458,30
11.2,0.4582,31
11.3,0.4426,30
11.4,0.4551,31
11.5,0.4486,30
11.6,0.4361,30
11.7,0.4504,31
11.8,0.4585,31
11.9,0.4524,31
12.0,0.4547,31
12.1,0.4431,30
12.2,0.4497,31
12.3,0.4475,30
12.4,0.4519,31
12.5,0.4525,31
12.6,0.4530,31
12.7,0.4541,31
12.8,0.4405,30
12.9,0.4299,29
13.0,0.4319,29
13.1,0.4439,30
13.2,0.4214,29
13.3,0.4430,30
13.4,0.4369,30
13.5,0.4387,30
13.6,0.4469,30
13.7,0.4369,30
13.8,0.4391,30
13.9,0.4425,30
14.0,0.4493,31
14.1,0.4547,31
14.2,0.4520,31
14.3,0.4476,30
14.4,0.4543,31
14.5,0.4535,31
14.6,0.4551,31
14.7,0.4479,30
14.8,0.4627,31
14.9,0.4435,30
15.0,0.4425,30
15.1,0.4502,31
15.2,0.4510,31
15.3,0.4475,30
15.4,0.4500,31
15.5,0.4429,30
15.6,0.4440,30
15.7,0.4580,31
15.8,0.4470,30
15.9,0.4449,30
16.0,0.4505,31
16.1,0.4744,32
16.2,0.4748,32
16.3,0.4741,32
16.4,0.4751,32
16.5,0.4703,32
16.6,0.4736,32
16.7,0.4894,33
16.8,0.4747,32
16.9,0.4936,34
17.0,0.4897,33
17.1,0.4950,34
17.2,0.4921,33
17.3,0.4816,33
17.4,0.4663,32
17.5,0.4550,31
17.6,0.4782,32
17.7,0.4806,33
17.8,0.4666,32
17.9,0.4913,33
