Time_ns,PC1,PC2,PC3,Cluster,RMSD_A,NativeQ,Rg_A
0.4,-0.1288,0.2668,0.1346,3,0.0000,0.5000,7.1392
0.5,0.3401,0.6419,0.0352,3,2.0460,0.4888,7.0179
0.6,0.2258,0.4096,-0.0070,3,2.1767,0.4814,7.2199
0.7,0.5031,0.1119,0.0420,2,3.1380,0.4781,7.2053
0.8,0.2174,-0.4033,-0.3833,1,3.7585,0.4834,6.8390
0.9,0.1783,-0.3684,-0.2308,1,3.4295,0.4919,6.8298
1.0,0.2385,-0.3844,-0.0534,1,3.4178,0.4760,7.0444
1.1,0.1790,-0.4390,-0.2946,1,3.6669,0.4891,6.7533
1.2,0.0512,-0.5851,-0.1910,1,3.5240,0.4856,6.8031
1.3,0.2281,-0.4432,-0.2684,1,3.8279,0.4882,6.7947
1.4,0.1461,-0.5737,-0.0658,1,3.6292,0.4844,6.8762
1.5,0.2540,-0.1430,-0.0255,1,3.4003,0.4883,7.0160
1.6,0.3740,-0.1503,-0.1280,1,3.5696,0.4730,7.1967
1.7,0.4041,-0.1202,-0.0958,1,3.8541,0.4709,7.2101
1.8,0.3285,0.0671,0.3049,3,3.0911,0.4765,7.2931
1.9,0.3358,0.0508,0.1119,3,3.1059,0.4808,7.1737
2.0,0.4101,-0.1302,0.0570,1,3.7946,0.4756,7.1549
2.1,0.4970,-0.0004,-0.0150,1,3.6654,0.4803,7.0957
2.2,0.1990,-0.3648,-0.2711,1,3.7369,0.4863,6.8791
2.3,0.2651,-0.2868,-0.4370,1,3.7431,0.4883,6.7959
2.4,0.1946,-0.2294,-0.2464,1,3.5809,0.4987,6.7957
2.5,0.2435,-0.3838,-0.3179,1,3.7740,0.4820,6.8374
2.6,0.2753,-0.3195,-0.0625,1,3.3402,0.4848,7.0165
2.7,0.3191,-0.0543,0.3575,1,3.3087,0.4735,7.3170
2.8,0.3871,-0.1862,0.4208,1,3.2436,0.4655,7.2427
2.9,0.5025,0.0708,0.1526,2,3.4667,0.4783,7.1663
3.0,0.2398,-0.2491,-0.0488,1,3.6343,0.4930,6.9430
3.1,0.3583,-0.2135,0.0404,1,3.6750,0.4807,7.0735
3.2,0.4288,-0.2895,-0.0575,1,3.8473,0.4855,6.9667
3.3,0.3576,-0.2150,0.0245,1,3.6028,0.4824,7.0675
3.4,0.2941,-0.1729,-0.0590,1,3.4225,0.4856,7.0783
3.5,0.2597,-0.2244,0.0525,1,3.2095,0.4788,7.0944
3.6,0.0066,-0.3418,0.6737,0,3.3943,0.4726,7.3583
3.7,0.0085,-0.3512,0.5464,0,3.2440,0.4724,7.4157
3.8,0.3261,-0.2783,0.1168,1,3.2112,0.4782,7.1142
3.9,0.2789,-0.0965,-0.0514,1,3.2539,0.4822,7.0538
4.0,0.1948,-0.3383,-0.0700,1,3.5411,0.4867,6.9376
4.1,0.1461,-0.5219,-0.3716,1,3.7640,0.4937,6.6963
4.2,0.1247,-0.4815,-0.2414,1,3.7143,0.4944,6.6835
4.3,0.1297,-0.4474,-0.1391,1,3.3359,0.4919,6.7677
4.4,0.2263,-0.4176,-0.1792,1,3.4924,0.4796,6.9326
4.5,0.3825,-0.2113,-0.1028,1,3.5404,0.4762,7.1202
4.6,0.4491,-0.1689,-0.2119,1,3.8997,0.4836,6.9527
4.7,0.3416,-0.3311,-0.0542,1,3.6740,0.4866,6.8825
4.8,0.3206,-0.2019,-0.3197,1,3.8522,0.4804,6.9630
4.9,0.2494,-0.4449,-0.3284,1,3.8344,0.4781,6.8593
5.0,0.1488,-0.4457,-0.3354,1,3.6454,0.4848,6.8649
5.1,0.2391,-0.4485,-0.0894,1,3.8924,0.4876,6.8476
5.2,0.2768,-0.4096,-0.0997,1,3.8621,0.4707,7.1271
5.3,0.4498,-0.1463,-0.2745,1,4.1184,0.4755,6.9767
5.4,0.3142,-0.3837,-0.3065,1,4.0253,0.4822,6.9464
5.5,0.4578,-0.2120,-0.0414,1,3.6496,0.4826,6.9629
5.6,0.2749,-0.3496,-0.3470,1,3.8610,0.4892,6.7900
5.7,0.1839,-0.3755,-0.2891,1,3.7340,0.4902,6.8773
5.8,0.4432,0.0823,0.0852,1,3.4620,0.4770,7.2052
5.9,0.2351,-0.2546,0.3170,1,3.2691,0.4787,7.1660
6.0,0.3139,-0.2183,0.3392,1,3.3771,0.4764,7.1953
6.1,0.3643,-0.1648,-0.0326,1,3.4711,0.4872,6.9673
6.2,0.3087,-0.1655,0.0488,1,3.1786,0.4650,7.1794
6.3,0.0719,-0.4451,-0.3616,1,3.8483,0.4804,6.8094
6.4,0.2964,-0.1881,-0.1286,1,3.5165,0.4686,7.1368
6.5,0.1582,-0.3590,-0.0426,1,3.4447,0.4754,6.9793
6.6,0.2903,-0.4132,-0.0682,1,3.7231,0.4757,6.9647
6.7,0.1525,-0.4261,-0.2272,1,3.6979,0.4788,6.8735
6.8,0.2128,-0.2799,-0.1140,1,3.3384,0.4806,6.8115
6.9,0.1851,-0.3458,-0.1370,1,3.6123,0.4826,6.8431
7.0,0.1229,-0.5359,-0.3003,1,3.9453,0.4820,6.6722
7.1,0.0192,-0.4930,-0.2227,1,3.9051,0.4802,6.7864
7.2,0.0718,-0.4306,-0.1682,1,3.6244,0.4769,6.8239
7.3,0.2712,-0.1993,-0.0867,1,3.5713,0.4827,6.9438
7.4,0.8427,-0.2074,0.3326,1,4.4839,0.4487,7.4717
7.5,0.9956,-0.0675,0.1677,2,4.7053,0.4460,7.2976
7.6,0.8198,-0.1918,0.2551,1,4.5288,0.4491,7.3172
7.7,0.9967,-0.0354,0.2338,2,4.8455,0.4502,7.3054
7.8,0.8998,-0.0846,0.0558,2,4.7682,0.4500,7.1312
