Time_ns,Rg_A
0.4,7.1392
0.5,7.0179
0.6,7.2199
0.7,7.2053
0.8,6.8390
0.9,6.8298
1.0,7.0444
1.1,6.7533
1.2,6.8031
1.3,6.7947
1.4,6.8762
1.5,7.0160
1.6,7.1967
1.7,7.2101
1.8,7.2931
1.9,7.1737
2.0,7.1549
2.1,7.0957
2.2,6.8791
2.3,6.7959
2.4,6.7957
2.5,6.8374
2.6,7.0165
2.7,7.3170
2.8,7.2427
2.9,7.1663
3.0,6.9430
3.1,7.0735
3.2,6.9667
3.3,7.0675
3.4,7.0783
3.5,7.0944
3.6,7.3583
3.7,7.4157
3.8,7.1142
3.9,7.0538
4.0,6.9376
4.1,6.6963
4.2,6.6835
4.3,6.7677
4.4,6.9326
4.5,7.1202
4.6,6.9527
4.7,6.8825
4.8,6.9630
4.9,6.8593
5.0,6.8649
5.1,6.8476
5.2,7.1271
5.3,6.9767
5.4,6.9464
5.5,6.9629
5.6,6.7900
5.7,6.8773
5.8,7.2052
5.9,7.1660
6.0,7.1953
6.1,6.9673
6.2,7.1794
6.3,6.8094
6.4,7.1368
6.5,6.9793
6.6,6.9647
6.7,6.8735
6.8,6.8115
6.9,6.8431
7.0,6.6722
7.1,6.7864
7.2,6.8239
7.3,6.9438
7.4,7.4717
7.5,7.2976
7.6,7.3172
7.7,7.3054
7.8,7.1312
7.9,7.2917
8.0,7.2509
8.1,7.3037
8.2,7.2378
8.3,7.4207
8.4,7.4522
8.5,7.3879
8.6,7.7431
8.7,6.9973
8.8,7.0203
8.9,7.0883
9.0,6.9993
9.1,7.0438
9.2,7.0572
9.3,7.3394
9.4,7.5126
9.5,7.1017
9.6,7.4382
9.7,7.2465
9.8,7.3329
9.9,7.2053
10.0,7.1502
10.1,7.0905
10.2,7.0141
10.3,6.8483
10.4,7.2308
10.5,7.4184
10.6,7.2375
10.7,7.3029
10.8,7.1514
10.9,7.1236
11.0,7.1643
11.1,7.4626
11.2,7.1393
11.3,7.2688
11.4,7.3329
11.5,7.2301
11.6,7.6118
11.7,7.2975
11.8,7.1389
11.9,7.1194
12.0,7.1105
12.1,7.2340
12.2,7.2183
12.3,7.2442
12.4,7.2664
12.5,7.1721
12.6,7.2311
12.7,7.1029
12.8,7.4347
12.9,7.8496
13.0,7.6055
13.1,7.4588
13.2,7.8131
13.3,7.3835
13.4,7.4086
13.5,7.5240
13.6,7.2906
13.7,7.5796
13.8,7.6143
13.9,7.4727
14.0,7.2613
14.1,7.1362
14.2,7.2288
14.3,7.2417
14.4,7.1025
14.5,7.1490
14.6,7.2338
14.7,7.2319
14.8,7.0890
14.9,7.3903
15.0,7.5954
15.1,7.1633
15.2,7.3417
15.3,7.4536
15.4,7.4172
15.5,7.4196
15.6,7.4132
15.7,7.2473
15.8,7.3953
15.9,7.4782
16.0,7.2357
16.1,6.8927
16.2,6.9487
16.3,6.9076
16.4,6.9588
16.5,7.0120
16.6,6.9378
16.7,6.8291
16.8,7.0197
16.9,6.7672
17.0,6.8601
17.1,6.7201
17.2,6.8183
17.3,7.0595
