Time_ns,RMSD_A
0.4,0.0000
0.5,2.0460
0.6,2.1767
0.7,3.1380
0.8,3.7585
0.9,3.4295
1.0,3.4178
1.1,3.6669
1.2,3.5240
1.3,3.8279
1.4,3.6292
1.5,3.4003
1.6,3.5696
1.7,3.8541
1.8,3.0911
1.9,3.1059
2.0,3.7946
2.1,3.6654
2.2,3.7369
2.3,3.7431
2.4,3.5809
2.5,3.7740
2.6,3.3402
2.7,3.3087
2.8,3.2436
2.9,3.4667
3.0,3.6343
3.1,3.6750
3.2,3.8473
3.3,3.6028
3.4,3.4225
3.5,3.2095
3.6,3.3943
3.7,3.2440
3.8,3.2112
3.9,3.2539
4.0,3.5411
4.1,3.7640
4.2,3.7143
4.3,3.3359
4.4,3.4924
4.5,3.5404
4.6,3.8997
4.7,3.6740
4.8,3.8522
4.9,3.8344
5.0,3.6454
5.1,3.8924
5.2,3.8621
5.3,4.1184
5.4,4.0253
5.5,3.6496
5.6,3.8610
5.7,3.7340
5.8,3.4620
5.9,3.2691
6.0,3.3771
6.1,3.4711
6.2,3.1786
6.3,3.8483
6.4,3.5165
6.5,3.4447
6.6,3.7231
6.7,3.6979
6.8,3.3384
6.9,3.6123
7.0,3.9453
7.1,3.9051
7.2,3.6244
7.3,3.5713
7.4,4.4839
7.5,4.7053
7.6,4.5288
7.7,4.8455
7.8,4.7682
7.9,5.0524
8.0,5.2583
8.1,4.9278
8.2,5.1806
8.3,4.8580
8.4,4.9227
8.5,4.5523
8.6,4.4379
8.7,4.7137
8.8,4.6993
8.9,4.6387
9.0,4.6630
9.1,4.4516
9.2,4.3916
9.3,4.3078
9.4,4.5384
9.5,4.2139
9.6,4.6195
9.7,4.3642
9.8,4.3973
9.9,4.2689
10.0,4.5283
10.1,4.6380
10.2,4.5283
10.3,4.3877
10.4,4.2675
10.5,4.5322
10.6,4.3849
10.7,4.2865
10.8,4.4448
10.9,4.4311
11.0,4.5839
11.1,4.5360
11.2,4.3457
11.3,4.3887
11.4,4.3238
11.5,4.2608
11.6,4.6337
11.7,4.5985
11.8,4.4231
11.9,4.7085
12.0,4.5595
12.1,4.6882
12.2,4.5595
12.3,4.5095
12.4,4.4085
12.5,4.4195
12.6,4.6081
12.7,4.4259
12.8,4.3980
12.9,4.4473
13.0,4.7584
13.1,4.5969
13.2,4.7240
13.3,4.6556
13.4,4.6151
13.5,4.6724
13.6,4.3309
13.7,4.7909
13.8,4.6179
13.9,4.4438
14.0,4.4391
14.1,4.4258
14.2,4.4448
14.3,4.4375
14.4,4.3181
14.5,4.4980
14.6,4.2490
14.7,4.5909
14.8,4.2482
14.9,4.2608
15.0,4.6066
15.1,4.5025
15.2,4.2498
15.3,4.3327
15.4,4.2646
15.5,4.0284
15.6,4.4344
15.7,4.3916
15.8,4.4411
15.9,4.3253
16.0,4.2308
16.1,3.9563
16.2,3.9019
16.3,3.8639
16.4,3.8110
16.5,3.7379
16.6,3.8017
16.7,3.6825
16.8,3.6899
16.9,3.4224
17.0,3.5340
17.1,3.3892
17.2,3.4804
17.3,3.1712
17.4,3.6403
17.5,3.6335
17.6,3.2930
17.7,3.5097
17.8,3.5304
17.9,3.5518
18.0,3.6456
18.1,3.7326
18.2,3.3959
18.3,3.5569
18.4,3.6151
18.5,3.2233
18.6,3.1344
18.7,3.7720
18.8,4.1305
18.9,3.9093
19.0,3.8854
19.1,4.1519
19.2,4.4577
19.3,4.2887
19.4,3.8251
19.5,3.5415
19.6,4.1318
19.7,4.1790
19.8,4.3863
19.9,4.3249
20.0,4.2808
20.1,4.2693
20.2,4.4785
20.3,4.2661
20.4,3.7695
20.5,3.8044
20.6,4.0146
20.7,3.7843
20.8,3.6970
20.9,4.1799
21.0,4.5089
21.1,4.6644
21.2,4.7073
21.3,4.9980
21.4,4.4357
21.5,4.6672
21.6,4.1797
21.7,4.2808
21.8,4.9391
21.9,4.9382
22.0,4.5883
22.1,4.7144
22.2,4.2164
22.3,4.5312
22.4,4.1328
22.5,4.1653
22.6,4.4973
22.7,4.2339
22.8,3.9890
22.9,4.8515
23.0,5.0935
23.1,4.9482
23.2,4.7552
23.3,4.5922
23.4,4.1272
23.5,4.4938
23.6,4.1173
23.7,4.8113
23.8,4.7341
23.9,4.9225
24.0,4.3755
24.1,4.5876
24.2,4.9382
24.3,4.3479
24.4,4.3040
24.5,4.3921
24.6,4.8986
24.7,4.7794
24.8,4.2456
24.9,4.2302
25.0,3.1254
25.1,3.1448
25.2,3.1335
25.3,3.0770
25.4,2.5196
25.5,2.5359
25.6,2.5570
25.7,2.7465
25.8,2.7373
25.9,2.4376
26.0,2.5117
26.1,2.7793
26.2,2.6475
26.3,2.0938
26.4,2.1298
26.5,2.2952
26.6,2.3157
26.7,2.1656
26.8,2.3970
26.9,2.1664
27.0,2.2810
27.1,2.0502
27.2,2.3773
27.3,2.3608
27.4,2.0910
27.5,2.1829
27.6,2.2980
27.7,2.2321
27.8,2.3345
27.9,2.5008
28.0,2.4242
28.1,2.4297
28.2,2.4907
28.3,2.4627
28.4,2.4993
28.5,2.3426
28.6,2.4190
28.7,2.2728
28.8,2.1295
28.9,2.3356
29.0,2.3083
29.1,2.3451
29.2,2.3234
29.3,2.5045
29.4,2.5761
29.5,2.3869
29.6,2.3410
29.7,2.4075
29.8,2.3482
29.9,2.7880
30.0,2.3272
30.1,2.4449
30.2,2.3846
30.3,2.3108
30.4,2.2298
30.5,2.2349
30.6,2.3711
30.7,2.4070
30.8,2.2726
30.9,2.3526
31.0,2.2226
31.1,2.2701
31.2,2.5312
31.3,2.3705
31.4,2.2452
31.5,2.2720
31.6,2.3183
31.7,2.2182
31.8,2.1477
31.9,2.3301
32.0,2.7170
32.1,2.2045
32.2,2.1339
32.3,2.5208
32.4,2.3473
32.5,2.3026
32.6,2.1891
32.7,2.3449
32.8,2.3323
32.9,2.3427
33.0,2.4292
33.1,2.1560
33.2,2.3450
33.3,2.7698
33.4,2.0985
33.5,2.5975
33.6,2.3916
33.7,2.7249
33.8,2.8026
33.9,2.4638
34.0,2.3938
34.1,2.8838
34.2,2.3791
34.3,2.1067
34.4,2.0396
34.5,2.2704
34.6,2.4804
34.7,2.5159
34.8,2.5467
34.9,2.1129
35.0,2.3831
35.1,2.4725
35.2,2.1622
35.3,2.2028
35.4,2.1700
35.5,2.1285
35.6,2.1876
35.7,1.9410
35.8,2.0803
35.9,2.0727
36.0,2.3952
36.1,2.3773
36.2,2.0361
36.3,2.5027
36.4,2.3011
36.5,2.2753
36.6,2.3167
36.7,2.3629
36.8,2.4508
36.9,2.1142
37.0,2.0554
37.1,2.4936
37.2,2.4578
37.3,2.5420
37.4,2.4226
37.5,2.3614
37.6,2.6009
37.7,2.4395
37.8,2.2968
37.9,2.4378
38.0,2.4971
38.1,2.3151
38.2,2.5874
38.3,2.1768
38.4,2.4082
38.5,2.3693
38.6,2.2710
38.7,2.2794
38.8,2.4783
38.9,2.3919
39.0,2.6093
39.1,2.4713
39.2,2.1342
39.3,2.3027
39.4,2.6993
39.5,2.3659
39.6,2.2410
39.7,2.5037
39.8,2.3070
39.9,2.4326
40.0,2.3235
40.1,2.4763
40.2,2.6774
40.3,2.2969
40.4,2.6405
40.5,2.4141
40.6,2.5131
40.7,2.3579
40.8,2.4623
40.9,2.5800
41.0,2.3474
41.1,2.3406
41.2,2.2928
41.3,2.3789
41.4,2.5084
41.5,2.4076
41.6,2.3512
41.7,2.2302
41.8,2.4253
41.9,2.4369
42.0,2.2071
42.1,2.2853
42.2,2.1558
42.3,2.4076
42.4,2.2849
42.5,2.4682
42.6,2.6150
42.7,2.1867
42.8,2.3917
42.9,2.3784
43.0,2.1652
43.1,2.3021
43.2,2.2063
43.3,2.2741
43.4,2.4900
43.5,2.2261
43.6,2.4334
43.7,2.3742
43.8,2.2545
43.9,2.5208
44.0,2.4932
44.1,2.3542
44.2,2.2005
44.3,2.3786
44.4,2.6646
44.5,2.3563
44.6,2.4275
44.7,2.3153
44.8,3.0096
44.9,2.9146
45.0,2.8182
45.1,2.3817
45.2,2.0900
45.3,2.4647
45.4,2.3107
45.5,2.2098
45.6,2.3592
45.7,2.0945
45.8,2.4443
45.9,2.0867
46.0,2.2454
46.1,2.1718
46.2,2.1100
46.3,2.1929
46.4,2.4716
46.5,2.4735
46.6,2.2852
46.7,2.2336
46.8,2.4810
46.9,2.2097
47.0,2.3337
47.1,2.3162
47.2,2.6919
47.3,2.3348
47.4,2.4667
47.5,2.4622
47.6,2.3106
47.7,2.3531
47.8,2.4612
47.9,2.3256
48.0,2.4305
48.1,2.5163
48.2,2.4771
48.3,2.5082
48.4,2.4318
48.5,2.2856
48.6,2.3686
48.7,2.5024
48.8,2.3667
48.9,2.4218
49.0,2.3356
49.1,2.3073
49.2,2.5018
49.3,2.2996
49.4,2.2810
49.5,2.2874
49.6,2.2335
49.7,2.4070
49.8,2.3681
49.9,2.1528
50.0,2.3773
50.1,2.4438
50.2,2.0198
50.3,2.4243
50.4,2.3840
50.5,2.5705
50.6,2.3156
50.7,2.5101
50.8,2.3109
50.9,2.3967
51.0,2.2491
51.1,2.2792
51.2,2.6339
51.3,2.4017
51.4,2.5123
51.5,2.4872
51.6,2.4185
51.7,2.4957
51.8,2.3945
51.9,2.2192
52.0,2.2897
52.1,2.2340
52.2,2.2893
52.3,2.2040
52.4,2.2881
52.5,2.1624
52.6,2.4554
52.7,2.2566
52.8,2.4949
52.9,2.1811
53.0,2.2517
53.1,2.1300
53.2,2.1509
53.3,2.3917
53.4,2.5992
53.5,2.3682
53.6,2.4711
53.7,2.5439
53.8,2.5819
53.9,2.4393
54.0,2.6351
54.1,2.5758
54.2,2.4168
54.3,2.3778
54.4,2.6592
54.5,2.1770
54.6,2.3133
54.7,2.2541
54.8,2.5261
54.9,2.3051
55.0,2.6103
55.1,2.5204
55.2,2.2461
55.3,2.5384
55.4,2.5017
55.5,2.1433
55.6,2.6082
55.7,2.4422
55.8,2.2007
55.9,2.3310
56.0,2.5282
56.1,2.1662
56.2,2.1708
56.3,2.4286
56.4,2.4265
56.5,2.2796
56.6,2.5155
56.7,2.4651
56.8,2.6047
56.9,2.5179
57.0,2.3215
57.1,2.2205
57.2,2.3575
57.3,2.2861
57.4,2.6149
57.5,2.1033
57.6,2.3842
57.7,2.2676
57.8,2.2150
57.9,2.4394
58.0,2.5009
58.1,2.3869
58.2,2.1788
58.3,2.4583
58.4,2.6007
58.5,2.4350
58.6,2.3344
58.7,2.4075
58.8,2.2508
58.9,2.4922
59.0,2.3154
59.1,2.5675
59.2,2.0995
59.3,2.3109
59.4,2.0746
59.5,2.0959
59.6,2.2488
59.7,2.4178
59.8,2.1060
59.9,2.3191
60.0,2.1701
60.1,2.0597
60.2,2.4657
60.3,2.5017
60.4,2.4435
60.5,2.0915
60.6,1.8859
60.7,2.2350
60.8,2.1885
60.9,2.0957
61.0,2.4649
61.1,2.2114
61.2,2.1341
61.3,2.2590
61.4,2.3185
61.5,2.4901
61.6,2.1871
61.7,2.2420
61.8,2.1078
61.9,2.1434
62.0,2.0480
62.1,2.3194
62.2,2.9678
62.3,2.1300
62.4,1.8658
62.5,2.2080
62.6,2.0449
62.7,2.2371
62.8,2.3659
62.9,2.0020
63.0,2.2190
63.1,2.5340
63.2,2.4726
63.3,2.6021
63.4,2.4338
63.5,2.4154
63.6,2.1236
63.7,2.1898
63.8,2.1704
63.9,2.4281
64.0,2.1615
64.1,2.1488
64.2,2.2453
64.3,2.0569
64.4,2.0079
64.5,2.2005
64.6,1.9063
64.7,2.2478
64.8,2.1640
64.9,2.4836
65.0,1.8926
65.1,2.2722
65.2,1.8963
65.3,2.2198
65.4,1.9329
65.5,2.0919
65.6,2.5252
65.7,2.0220
65.8,2.1361
65.9,2.3934
66.0,2.4053
66.1,2.3413
66.2,2.4195
66.3,2.3878
66.4,2.1020
66.5,2.3932
66.6,2.1717
66.7,2.3346
66.8,2.2247
66.9,2.2773
67.0,2.3690
67.1,2.5093
67.2,2.3866
67.3,2.3931
67.4,2.4786
67.5,2.1001
67.6,2.1367
67.7,2.4584
67.8,2.3605
67.9,2.3274
